"annee";"type";"nombre_cylindres";"cylindree";"transmission";"boite";"consommation"
2023;"voiture_moyenne";8;4,4;"integrale";"automatique";13,8358823529412
2020;"VUS_petit";4;2;"integrale";"automatique";9,80041666666667
2021;"voiture_compacte";6;3,3;"propulsion";"automatique";11,7605
2023;"voiture_deux_places";8;5;"integrale";"automatique";13,0672222222222
2022;"voiture_moyenne";8;4,4;"integrale";"automatique";13,8358823529412
2022;"voiture_moyenne";8;4,4;"integrale";"automatique";13,8358823529412
2022;"voiture_minicompacte";3;1,5;"traction";"automatique";7,3503125
2024;"voiture_minicompacte";3;1,5;"traction";"manuelle";7,58741935483871
2020;"VUS_standard";6;3,8;"integrale";"automatique";11,2004761904762
2019;"voiture_compacte";6;3,3;"propulsion";"automatique";11,7605
2016;"monospace";6;3,3;"traction";"automatique";11,7605
2023;"VUS_standard";8;5;"4x4";"automatique";14,700625
2024;"voiture_moyenne";8;4,4;"integrale";"automatique";12,3794736842105
2024;"voiture_sous_compacte";6;3;"propulsion";"automatique";9,80041666666667
2021;"voiture_deux_places";6;3;"propulsion";"automatique";10,6913636363636
2021;"camionnette_petit";6;3,6;"propulsion";"automatique";11,2004761904762
2018;"voiture_compacte";4;2;"propulsion";"manuelle";9,4084
2020;"VUS_petit";8;5;"integrale";"automatique";13,0672222222222
2020;"voiture_deux_places";6;3;"integrale";"automatique";11,2004761904762
2019;"VUS_petit";4;2,5;"traction";"automatique";9,4084
2015;"voiture_sous_compacte";6;3,8;"integrale";"automatique";12,3794736842105
2016;"voiture_moyenne";4;2,5;"traction";"automatique";7,3503125
2014;"voiture_minicompacte";12;5,9;"propulsion";"automatique";15,6806666666667
2020;"voiture_moyenne";4;2;"integrale";"automatique";8,71148148148148
2015;"VUS_standard";8;6,2;"4x4";"automatique";14,700625
2016;"voiture_moyenne";6;3;"integrale";"automatique";9,80041666666667
2020;"break_petit";4;1,6;"traction";"automatique";8,11068965517241
2019;"voiture_compacte";6;3,5;"traction";"automatique";10,2265217391304
2019;"VUS_petit";4;2,4;"integrale";"automatique";9,80041666666667
2020;"voiture_deux_places";6;3;"propulsion";"automatique";10,6913636363636
2022;"VUS_petit";4;2,4;"integrale";"automatique";10,2265217391304
2021;"VUS_petit";4;2;"traction";"automatique";7,58741935483871
2014;"VUS_petit";4;2;"traction";"manuelle";9,4084
2020;"voiture_deux_places";6;3;"propulsion";"automatique";10,2265217391304
2014;"VUS_petit";4;2,5;"integrale";"automatique";8,71148148148148
2024;"voiture_sous_compacte";4;2;"integrale";"automatique";8,71148148148148
2021;"break_petit";4;2;"traction";"automatique";7,84033333333333
2018;"VUS_standard";12;6;"integrale";"automatique";15,6806666666667
2018;"voiture_sous_compacte";4;2;"integrale";"manuelle";8,71148148148148
2016;"monospace";6;3,3;"traction";"automatique";11,2004761904762
2021;"voiture_minicompacte";4;2;"traction";"automatique";8,11068965517241
2014;"voiture_deux_places";8;4,2;"integrale";"automatique";13,8358823529412
2020;"voiture_sous_compacte";4;2;"propulsion";"automatique";8,71148148148148
2018;"voiture_sous_compacte";4;2;"integrale";"automatique";8,71148148148148
2014;"VUS_standard";8;4,8;"integrale";"automatique";13,8358823529412
2017;"VUS_petit";4;2;"integrale";"automatique";11,2004761904762
2014;"voiture_sous_compacte";6;3,7;"propulsion";"automatique";10,2265217391304
2022;"voiture_sous_compacte";8;4,4;"integrale";"automatique";12,3794736842105
2021;"VUS_petit";3;1,3;"integrale";"automatique";8,40035714285714
2014;"voiture_deux_places";10;5,2;"integrale";"automatique";14,700625
2023;"voiture_sous_compacte";8;4,4;"integrale";"automatique";13,8358823529412
2020;"voiture_deux_places";4;2;"propulsion";"automatique";9,04653846153846
2016;"voiture_deux_places";8;5;"propulsion";"automatique";13,0672222222222
2018;"voiture_sous_compacte";8;4,4;"integrale";"automatique";12,3794736842105
2019;"voiture_compacte";6;3,3;"integrale";"automatique";11,7605
2024;"voiture_sous_compacte";4;2;"traction";"automatique";8,11068965517241
2014;"voiture_sous_compacte";8;5;"propulsion";"manuelle";13,8358823529412
2019;"VUS_petit";4;2;"integrale";"automatique";9,80041666666667
2015;"break_petit";6;3;"integrale";"automatique";10,6913636363636
2015;"VUS_petit";4;2;"traction";"automatique";8,40035714285714
2017;"VUS_petit";4;2;"integrale";"automatique";11,2004761904762
2022;"voiture_moyenne";6;3,3;"integrale";"automatique";11,7605
2024;"voiture_sous_compacte";4;2;"traction";"automatique";7,58741935483871
2014;"voiture_deux_places";8;4,2;"integrale";"manuelle";16,8007142857143
2021;"camionnette_petit";6;3,6;"propulsion";"automatique";11,2004761904762
2024;"voiture_sous_compacte";3;1,5;"traction";"automatique";7,3503125
2022;"voiture_compacte";6;3,3;"integrale";"automatique";11,7605
2022;"voiture_moyenne";4;2;"integrale";"automatique";9,04653846153846
2023;"VUS_standard";4;2;"4x4";"automatique";12,3794736842105
2023;"voiture_sous_compacte";8;4,4;"integrale";"automatique";12,3794736842105
2016;"VUS_petit";4;2;"integrale";"automatique";11,2004761904762
2022;"voiture_sous_compacte";3;1,5;"traction";"manuelle";7,58741935483871
2014;"VUS_petit";4;2;"traction";"automatique";9,80041666666667
2023;"voiture_sous_compacte";8;4,4;"integrale";"automatique";12,3794736842105
2016;"VUS_petit";4;1,8;"integrale";"automatique";8,11068965517241
2015;"VUS_standard";8;6,2;"4x4";"automatique";14,700625
2014;"VUS_petit";4;2,4;"traction";"automatique";10,6913636363636
2021;"voiture_compacte";4;1,6;"traction";"manuelle";8,11068965517241
2024;"voiture_minicompacte";4;2;"traction";"automatique";8,40035714285714
2023;"voiture_moyenne";3;1,5;"traction";"automatique";8,40035714285714
2019;"voiture_compacte";4;1,4;"traction";"automatique";6,91794117647059
2017;"voiture_deux_places";6;3;"propulsion";"manuelle";12,3794736842105
2022;"VUS_petit";4;1,6;"integrale";"automatique";6,35702702702703
2019;"VUS_petit";6;3,2;"4x4";"automatique";11,2004761904762
2024;"voiture_sous_compacte";4;2;"propulsion";"automatique";8,40035714285714
2023;"voiture_deux_places";8;5;"propulsion";"automatique";12,3794736842105
2015;"VUS_standard";8;5,3;"4x4";"automatique";13,0672222222222
2018;"voiture_compacte";4;2;"integrale";"automatique";8,71148148148148
2024;"voiture_minicompacte";4;2;"traction";"manuelle";8,71148148148148
2021;"VUS_petit";4;1,6;"integrale";"automatique";8,71148148148148
2022;"VUS_petit";4;2,5;"4x4";"automatique";9,04653846153846
2021;"voiture_sous_compacte";3;1,5;"traction";"automatique";7,58741935483871
2019;"voiture_deux_places";8;6,2;"propulsion";"manuelle";12,3794736842105
2023;"voiture_compacte";6;3,3;"integrale";"automatique";11,7605
2014;"VUS_petit";4;2;"traction";"manuelle";8,11068965517241
2015;"VUS_petit";4;2;"4x4";"automatique";8,71148148148148
2014;"VUS_petit";6;3,3;"traction";"automatique";11,2004761904762
2023;"VUS_standard";6;3;"4x4";"automatique";10,6913636363636
2021;"VUS_petit";4;2;"integrale";"automatique";8,11068965517241
2021;"voiture_deux_places";8;5;"integrale";"automatique";13,0672222222222
2020;"VUS_petit";4;2;"integrale";"automatique";10,2265217391304
2018;"voiture_sous_compacte";6;3;"propulsion";"automatique";10,2265217391304
2018;"voiture_compacte";6;3;"propulsion";"automatique";11,7605
2017;"voiture_compacte";4;2;"traction";"automatique";8,40035714285714
2015;"VUS_standard";8;5,3;"4x4";"automatique";13,0672222222222
2017;"VUS_petit";4;2;"traction";"automatique";10,2265217391304
2017;"VUS_petit";6;3,5;"integrale";"automatique";10,6913636363636
2020;"VUS_petit";6;3,8;"integrale";"automatique";11,2004761904762
2023;"voiture_moyenne";4;2,5;"propulsion";"automatique";9,4084
2014;"voiture_deux_places";8;4,2;"integrale";"automatique";13,8358823529412
2021;"camionnette_petit";4;2,5;"propulsion";"automatique";10,6913636363636
2015;"VUS_standard";8;6,2;"propulsion";"automatique";13,8358823529412
2022;"voiture_sous_compacte";4;2;"traction";"manuelle";8,71148148148148
2016;"voiture_moyenne";6;3,5;"traction";"automatique";10,2265217391304
2018;"voiture_grande";6;3,8;"propulsion";"automatique";10,6913636363636
2021;"VUS_petit";3;1,2;"traction";"automatique";8,11068965517241
2021;"voiture_minicompacte";4;2;"traction";"manuelle";9,04653846153846
2020;"voiture_compacte";4;1,8;"traction";"automatique";4,52326923076923
2016;"VUS_petit";4;1,8;"integrale";"automatique";8,11068965517241
2015;"voiture_moyenne";6;3;"integrale";"automatique";10,6913636363636
2021;"voiture_deux_places";6;3;"propulsion";"automatique";10,6913636363636
2014;"voiture_deux_places";10;5,2;"integrale";"automatique";14,700625
2021;"voiture_compacte";4;2;"traction";"automatique";7,84033333333333
2016;"voiture_moyenne";4;2,5;"traction";"automatique";7,84033333333333
2022;"VUS_petit";4;1,6;"traction";"automatique";7,3503125
2015;"VUS_petit";4;2;"traction";"manuelle";8,11068965517241
2020;"voiture_compacte";4;1,8;"traction";"manuelle";7,12757575757576
2015;"voiture_compacte";5;2,5;"integrale";"automatique";10,2265217391304
2021;"VUS_petit";3;1,2;"traction";"automatique";8,11068965517241
2019;"VUS_petit";4;2;"integrale";"automatique";9,04653846153846
2024;"voiture_moyenne";6;3;"propulsion";"automatique";9,80041666666667
2021;"voiture_deux_places";6;3;"integrale";"automatique";11,2004761904762
2021;"voiture_compacte";4;1,5;"traction";"automatique";4,90020833333333
2022;"monospace";6;3,5;"traction";"automatique";10,6913636363636
2019;"voiture_deux_places";8;6,2;"propulsion";"manuelle";13,8358823529412
2014;"VUS_petit";4;2,4;"traction";"manuelle";9,4084
2022;"VUS_petit";4;2,4;"traction";"automatique";9,04653846153846
2018;"voiture_compacte";4;2;"integrale";"automatique";11,2004761904762
2020;"VUS_petit";4;2;"traction";"automatique";10,2265217391304
2017;"VUS_petit";4;2,4;"traction";"automatique";9,80041666666667
2015;"voiture_sous_compacte";4;2;"integrale";"automatique";9,04653846153846
2019;"voiture_compacte";4;2;"traction";"manuelle";8,40035714285714
2016;"VUS_petit";4;1,8;"traction";"automatique";7,58741935483871
2024;"voiture_sous_compacte";6;3;"integrale";"automatique";9,80041666666667
2017;"voiture_deux_places";10;5,2;"integrale";"automatique";13,8358823529412
2024;"voiture_deux_places";8;5;"integrale";"automatique";13,0672222222222
2016;"monospace";6;3,3;"traction";"automatique";12,3794736842105
2020;"voiture_compacte";4;2;"traction";"manuelle";7,3503125
2019;"voiture_compacte";4;1,6;"traction";"automatique";7,84033333333333
2016;"voiture_deux_places";6;3;"integrale";"automatique";11,2004761904762
2022;"VUS_petit";4;1,5;"traction";"automatique";8,71148148148148
2023;"VUS_petit";4;2,5;"traction";"automatique";8,40035714285714
2016;"voiture_grande";8;5;"propulsion";"automatique";13,0672222222222
2016;"voiture_moyenne";8;6,8;"propulsion";"automatique";16,8007142857143
2023;"VUS_standard";4;2,5;"integrale";"automatique";10,6913636363636
2016;"voiture_moyenne";4;2,5;"traction";"manuelle";8,11068965517241
2018;"voiture_compacte";8;4,4;"integrale";"automatique";12,3794736842105
2019;"camionnette_petit";6;3,5;"traction";"automatique";10,6913636363636
2020;"voiture_moyenne";4;2;"propulsion";"automatique";8,40035714285714
2024;"voiture_sous_compacte";8;4,4;"integrale";"automatique";12,3794736842105
2020;"break_petit";4;2;"traction";"automatique";7,58741935483871
2019;"camionnette_standard";8;5,7;"4x4";"automatique";13,8358823529412
2014;"voiture_sous_compacte";8;5;"propulsion";"automatique";13,8358823529412
2023;"VUS_standard";6;3;"4x4";"automatique";11,7605
2021;"voiture_compacte";4;2;"propulsion";"manuelle";10,6913636363636
2017;"VUS_petit";6;3,3;"traction";"automatique";11,2004761904762
2017;"VUS_petit";6;3,3;"integrale";"automatique";11,7605
2018;"voiture_compacte";4;2;"propulsion";"automatique";8,71148148148148
2022;"VUS_petit";4;2,5;"traction";"automatique";8,11068965517241
2019;"camionnette_standard";8;5,7;"propulsion";"automatique";13,8358823529412
2015;"VUS_petit";4;2,5;"traction";"automatique";8,71148148148148
2018;"voiture_grande";6;3,8;"integrale";"automatique";11,7605
2018;"voiture_sous_compacte";4;2;"integrale";"automatique";9,04653846153846
2024;"voiture_sous_compacte";3;1,5;"traction";"manuelle";7,58741935483871
2015;"VUS_petit";4;2,5;"4x4";"automatique";9,04653846153846
